,filter_size,hidden_dims,num_filters,pool_size,means,stddev
0,3,10,10,2,0.5193401587407246,0.00858097714656519
1,3,10,10,5,0.5369106312155829,0.013002954378333707
2,3,10,10,10,0.54120844622551,0.01407949290305746
3,3,10,10,20,0.533181646276765,0.012687785968479451
4,3,10,10,50,0.5329288339557606,0.018729348279738368
5,3,10,20,2,0.5141575037566619,0.01155598692448223
6,3,10,20,5,0.531538364408351,0.013901943634523625
7,3,10,20,10,0.5500568844073793,0.010023746547053413
8,3,10,20,20,0.5417772727516836,0.013616311909919247
9,3,10,20,50,0.5432941494409511,0.009877570354801007
10,3,10,50,2,0.514094299506695,0.011691784745341369
11,3,10,50,5,0.5390595376883336,0.009824480778466397
12,3,10,50,10,0.5496776657714176,0.008636797027573436
13,3,10,50,20,0.5506257123914595,0.008180963034152278
14,3,10,50,50,0.5427885234973747,0.01841421231706218
15,3,10,100,2,0.5115661730191874,0.010741414659916465
16,3,10,100,5,0.531601568247693,0.011710721883824897
17,3,10,100,10,0.5369738347121097,0.010904535789478654
18,3,10,100,20,0.5438629763080565,0.014306524569457671
19,3,10,100,50,0.5564404010750101,0.01446934795323628
20,3,10,200,2,0.5082796107176628,0.01511307867604967
21,3,10,200,5,0.526355706806084,0.010703237024411984
22,3,10,200,10,0.5344457097427837,0.011150572910108274
23,3,10,200,20,0.5383643052804306,0.01708361300947934
24,3,10,200,50,0.5566932128648393,0.019770246339129386
25,3,50,10,2,0.5180760954743676,0.009447825460619242
26,3,50,10,5,0.5357729753340682,0.014091646907412363
27,3,50,10,10,0.5405764126051332,0.010775077447361727
28,3,50,10,20,0.5415244597375144,0.016479835995979346
29,3,50,10,50,0.5450638358254843,0.0218114658074442
30,3,50,20,2,0.5123246126493782,0.01495984450098426
31,3,50,20,5,0.5302743011985019,0.01283526787545248
32,3,50,20,10,0.5347617256431931,0.0123531638373583
33,3,50,20,20,0.5505625091586368,0.010810303989532442
34,3,50,20,50,0.5511945403303333,0.010270640061893044
35,3,50,50,2,0.5136518771971482,0.013895004022371472
36,3,50,50,5,0.5332448499955565,0.008904057476477602
37,3,50,50,10,0.5294526608934175,0.013312012600664513
38,3,50,50,20,0.5406396153557543,0.008290541757776751
39,3,50,50,50,0.5476551651502587,0.014974540131923477
40,3,50,100,2,0.5106813298806034,0.011147157758148094
41,3,50,100,5,0.5207306275384613,0.010312283745239998
42,3,50,100,10,0.5259764889687688,0.011459471541808096
43,3,50,100,20,0.536468210974229,0.010412334584676324
44,3,50,100,50,0.5575780557284176,0.008692170836800904
45,3,50,200,2,0.5109973444323551,0.013278053833965846
46,3,50,200,5,0.5304639115129074,0.009960976607989315
47,3,50,200,10,0.5291998486138524,0.006549156510997439
48,3,50,200,20,0.5338768808583426,0.011541933588098999
49,3,50,200,50,0.5548603226014085,0.015304151133238459
50,3,100,10,2,0.5207938327810855,0.011937044410701356
51,3,100,10,5,0.5267349253780034,0.00833343325349445
52,3,100,10,10,0.5334976620886452,0.012324349695542549
53,3,100,10,20,0.5384907097306237,0.0099903277751032
54,3,100,10,50,0.5432941488589187,0.008042629369750138
55,3,100,20,2,0.5119453920657739,0.011247240566215354
56,3,100,20,5,0.5332448482061364,0.007460754690780352
57,3,100,20,10,0.5393755533645946,0.010728625347720207
58,3,100,20,20,0.5431677426080037,0.010605493935308056
59,3,100,20,50,0.5554923536713906,0.014300078297350012
60,3,100,50,2,0.5133358615378396,0.011503824174261238
61,3,100,50,5,0.522626722786463,0.01109276407222314
62,3,100,50,10,0.5318543805573958,0.010467859135439773
63,3,100,50,20,0.5400707888973902,0.010126752241197842
64,3,100,50,50,0.5544811030161123,0.00914426465858344
65,3,100,100,2,0.510428517785631,0.01469477891371384
66,3,100,100,5,0.5186449246356979,0.007745803360386179
67,3,100,100,10,0.5294526609744122,0.008273930033698564
68,3,100,100,20,0.5385539143949826,0.013638586565549117
69,3,100,100,50,0.5561875871378769,0.015759258751153367
70,3,100,200,2,0.5152319553882099,0.014333489017916687
71,3,100,200,5,0.5273669586442632,0.016396685512802482
72,3,100,200,10,0.5290102390208659,0.009495486065879492
73,3,100,200,20,0.5274301612969371,0.015204141524670502
74,3,100,200,50,0.5505625090380863,0.013954132350502964
75,5,10,10,2,0.5163696114882222,0.010883475980327179
76,5,10,10,5,0.535836178269282,0.013873179539499451
77,5,10,10,10,0.5330552410166237,0.015351817689152
78,5,10,10,20,0.5399443826050361,0.016795017444810604
79,5,10,10,50,0.5472759461601802,0.013285661996359123
80,5,10,20,2,0.5123246105510476,0.008475812301826247
81,5,10,20,5,0.5319175825432751,0.012308051865630169
82,5,10,20,10,0.5320439896418102,0.014640462464634739
83,5,10,20,20,0.5509417259750408,0.009333697540028494
84,5,10,20,50,0.549488056720908,0.012848194924859217
85,5,10,50,2,0.5128302357468347,0.009372350371161365
86,5,10,50,5,0.524712426949355,0.01574723269694614
87,5,10,50,10,0.5298318807122802,0.014209384321061495
88,5,10,50,20,0.5372266468504048,0.007702892634312117
89,5,10,50,50,0.5520793838833093,0.011022618315613778
90,5,10,100,2,0.5095436737881254,0.01062940554117901
91,5,10,100,5,0.521868284244993,0.013588248127860492
92,5,10,100,10,0.5245860188487447,0.012715234958183259
93,5,10,100,20,0.5397547737541881,0.009289500351563418
94,5,10,100,50,0.5484136017704565,0.011015430587943692
95,5,10,200,2,0.510681330136773,0.016022737482420155
96,5,10,200,5,0.5207938321576139,0.01055404325797096
97,5,10,200,10,0.5222475022612503,0.009143422311288648
98,5,10,200,20,0.5280621913271718,0.011864720257864966
99,5,10,200,50,0.5478447743702923,0.007240084042406853
100,5,50,10,2,0.5216786744259745,0.019168244810964515
101,5,50,10,5,0.5242700038411617,0.008372174248254498
102,5,50,10,10,0.5362153956243956,0.007011841420776906
103,5,50,10,20,0.5364050067317967,0.009288700223943912
104,5,50,10,50,0.5480343835017968,0.013966454407469922
105,5,50,20,2,0.518012893616573,0.011207938639713342
106,5,50,20,5,0.523448362029197,0.011883168922387131
107,5,50,20,10,0.5350777413552427,0.011524783483344327
108,5,50,20,20,0.5400707888069775,0.01758577718357062
109,5,50,20,50,0.5466439154367805,0.013777073541274967
110,5,50,50,2,0.5110605484977291,0.010845275745525537
111,5,50,50,5,0.524459615526828,0.016400225659735458
112,5,50,50,10,0.5229427370933467,0.013292061889537271
113,5,50,50,20,0.5229427387998885,0.0144234247741017
114,5,50,50,50,0.5396915697980629,0.013210067815832642
115,5,50,100,2,0.512135001321596,0.0071507628787517595
116,5,50,100,5,0.5176968780137724,0.010678277484101996
117,5,50,100,10,0.5244596143872499,0.0075030406051958065
118,5,50,100,20,0.5304007073024961,0.013984568752647433
119,5,50,100,50,0.5473391485943564,0.013403044572052412
120,5,50,200,2,0.50872203239432,0.015242617621170714
121,5,50,200,5,0.5191505514231272,0.00980313069648075
122,5,50,200,10,0.52357476852498,0.01088358372870117
123,5,50,200,20,0.5209834405149586,0.00956438216728447
124,5,50,200,50,0.5436733663213975,0.012178780034048485
125,5,100,10,2,0.5120717984673769,0.01070754315902397
126,5,100,10,5,0.5247124261092694,0.008566965459758578
127,5,100,10,10,0.5293894570691443,0.015310793457751716
128,5,100,10,20,0.5401339914408153,0.015012461952557045
129,5,100,10,50,0.5435469622987815,0.00799360420715857
130,5,100,20,2,0.5167488297192099,0.011109153102323483
131,5,100,20,5,0.5285046134069195,0.011518565362032954
132,5,100,20,10,0.5348249279078453,0.01481641550306723
133,5,100,20,20,0.5318543816046775,0.0063745126227288795
134,5,100,20,50,0.5465175074303501,0.013246922552395944
135,5,100,50,2,0.5125142198614941,0.013388040267943019
136,5,100,50,5,0.5242700035699233,0.010292154851705784
137,5,100,50,10,0.5290734419372437,0.011660250661029657
138,5,100,50,20,0.5346985214082951,0.008350220028955637
139,5,100,50,50,0.548540007995001,0.009417850461690101
140,5,100,100,2,0.5135886737119231,0.016585651949971227
141,5,100,100,5,0.5242700034380713,0.00949590431591146
142,5,100,100,10,0.5184553156285111,0.01311974468449742
143,5,100,100,20,0.5288838331542053,0.010173866317236411
144,5,100,100,50,0.5468335222514566,0.014050229983170456
145,5,100,200,2,0.5121350019186972,0.01576334502277656
146,5,100,200,5,0.5118189854117685,0.014534682835437825
147,5,100,200,10,0.525723676046896,0.008036841207873008
148,5,100,200,20,0.5204778149198482,0.012299157483855154
149,5,100,200,50,0.5407028190368739,0.01879090039901837
150,7,10,10,2,0.5180128926634713,0.004804361921235461
151,7,10,10,5,0.5297686765470753,0.020077711379742864
152,7,10,10,10,0.5306535208949306,0.014404575964461139
153,7,10,10,20,0.5336240663297588,0.01250825041735661
154,7,10,10,50,0.5379218811419079,0.009583657979861916
155,7,10,20,2,0.5196561739856412,0.009130074970918212
156,7,10,20,5,0.5212362549832672,0.01412941219703021
157,7,10,20,10,0.5348881307112072,0.013027526002403254
158,7,10,20,20,0.5383643027827767,0.012185845627848899
159,7,10,20,50,0.546075086384699,0.011004159175199977
160,7,10,50,2,0.5137782826983903,0.008724344047390071
161,7,10,50,5,0.527050941960276,0.013201185817702275
162,7,10,50,10,0.5307799267747764,0.016076014130783394
163,7,10,50,20,0.5335608664610461,0.011712857011830623
164,7,10,50,50,0.5496776652025703,0.009219062896761662
165,7,10,100,2,0.5085324232948367,0.010980444745996949
166,7,10,100,5,0.5222475043049565,0.013138063301958488
167,7,10,100,10,0.5225003157557375,0.009789271176089612
168,7,10,100,20,0.526671723674664,0.008078164446877737
169,7,10,100,50,0.5420300843870575,0.015829639882738097
170,7,10,200,2,0.508974845385886,0.008804478191826915
171,7,10,200,5,0.5180760956401244,0.013406107372292784
172,7,10,200,10,0.5193401593717307,0.01477992955127648
173,7,10,200,20,0.5187081281246902,0.010270238328667818
174,7,10,200,50,0.5354569590230338,0.01125455416044263
175,7,50,10,2,0.517949689946755,0.009998825000208492
176,7,50,10,5,0.5267349271109155,0.012428962222512751
177,7,50,10,10,0.5363418028585499,0.010677666258708479
178,7,50,10,20,0.5353305539550198,0.010276181408456559
179,7,50,10,50,0.5422828977892483,0.009048192329654951
180,7,50,20,2,0.5073947661494262,0.012135282272257554
181,7,50,20,5,0.520667425552582,0.01374650613617755
182,7,50,20,10,0.527935786865677,0.011847598873603595
183,7,50,20,20,0.5329288344756343,0.00672683439793433
184,7,50,20,50,0.5429781332862557,0.01297854365478613
185,7,50,50,2,0.509986094944909,0.006462555250110199
186,7,50,50,5,0.5205410180773269,0.017325944441467168
187,7,50,50,10,0.5320439899092814,0.016348051404324673
188,7,50,50,20,0.5333080531002945,0.015866466536840707
189,7,50,50,50,0.5485400093737963,0.00946350120156043
190,7,50,100,2,0.5120717984824458,0.009870979610199386
191,7,50,100,5,0.5194665664608478,0.009733321537116807
192,7,50,100,10,0.5223107078165521,0.011663566269772207
193,7,50,100,20,0.5242068019532296,0.013287177221775893
194,7,50,100,50,0.5398179759849355,0.007944068624861515
195,7,50,200,2,0.5073315644649229,0.015200839230899125
196,7,50,200,5,0.5147263311549424,0.006247952293685326
197,7,50,200,10,0.5194665657978205,0.015719058894036127
198,7,50,200,20,0.5130830487289828,0.012984204991396726
199,7,50,200,50,0.5328024275353217,0.01522614211112588
200,7,100,10,2,0.5146631271592617,0.011508043368536853
201,7,100,10,5,0.5230059404184658,0.010932088748145115
202,7,100,10,10,0.5315383655309768,0.008281364600645786
203,7,100,10,20,0.534003287700708,0.012847577917416947
204,7,100,10,50,0.5361521944597659,0.012713040209177585
205,7,100,20,2,0.5094172674976548,0.011855851651202808
206,7,100,20,5,0.522184301584473,0.009713966146481342
207,7,100,20,10,0.5306535214242223,0.005630677787570612
208,7,100,20,20,0.5393123500244067,0.010042606442139683
209,7,100,20,50,0.5447478221929295,0.008566131338286822
210,7,100,50,2,0.5084060173641338,0.008423759824803829
211,7,100,50,5,0.5220578928057666,0.014094143080333287
212,7,100,50,10,0.5231323463058459,0.01215892973085694
213,7,100,50,20,0.5283150039533194,0.009506427206081783
214,7,100,50,50,0.5422196942475153,0.012827283938102698
215,7,100,100,2,0.5168752380854079,0.008586155842357857
216,7,100,100,5,0.5175072691403212,0.006782727585914007
217,7,100,100,10,0.5211730501343155,0.012005597445347484
218,7,100,100,20,0.5225003149608582,0.009506581937731193
219,7,100,100,50,0.5388067259587797,0.02149150265781023
220,7,100,200,2,0.511376564443345,0.015314493011628528
221,7,100,200,5,0.5128302364437668,0.009604726908379666
222,7,100,200,10,0.5151055495629885,0.012321502993879298
223,7,100,200,20,0.5173808606780596,0.007752407927043909
224,7,100,200,50,0.5329920361996933,0.021546392328643024
225,10,10,10,2,0.5182025028309558,0.013720687624808601
226,10,10,10,5,0.5265453164819489,0.007908594966893539
227,10,10,10,10,0.5353937566849212,0.01670483886820281
228,10,10,10,20,0.535330552926574,0.011540887164839855
229,10,10,10,50,0.5362786015601846,0.012546333479012845
230,10,10,20,2,0.5096700803705541,0.014140679794835284
231,10,10,20,5,0.5280621925533956,0.014516900652346528
232,10,10,20,10,0.5319175835943241,0.012678186385729987
233,10,10,20,20,0.5279357843868592,0.0116944229624499
234,10,10,20,50,0.543926178467227,0.011500285310448784
235,10,10,50,2,0.5140310960252371,0.017223897796935953
236,10,10,50,5,0.5154215641561795,0.010797959759249083
237,10,10,50,10,0.5252180513634481,0.008782112871413155
238,10,10,50,20,0.5365946157973751,0.010465084329975652
239,10,10,50,50,0.5364050060348646,0.01314672535774947
240,10,10,100,2,0.5128302365002748,0.014511099414900622
241,10,10,100,5,0.5251548474807833,0.012610953992358606
242,10,10,100,10,0.5246492228990499,0.009019863489734402
243,10,10,100,20,0.5240803937094656,0.006808066143746818
244,10,10,100,50,0.5433573522461966,0.017669768777540517
245,10,10,200,2,0.5051826565512181,0.013111007468651953
246,10,10,200,5,0.5127670340962363,0.012745941111857362
247,10,10,200,10,0.5176968773997187,0.009235367137347879
248,10,10,200,20,0.5203514089703093,0.01140845256722831
249,10,10,200,50,0.5358361779151651,0.010432547603347879
250,10,50,10,2,0.5182025037671052,0.011413272889606533
251,10,50,10,5,0.5219314864418356,0.0101618962542532
252,10,50,10,10,0.5242068012939695,0.016704330280817515
253,10,50,10,20,0.5295158640810338,0.014228282828271481
254,10,50,10,50,0.5376058674679138,0.01266373651396383
255,10,50,20,2,0.5104285173806571,0.010317864760766246
256,10,50,20,5,0.5182025029552735,0.006948171386106041
257,10,50,20,10,0.5276829727891573,0.017301745480755717
258,10,50,20,20,0.5284414118655697,0.014555090340464077
259,10,50,20,50,0.5408924296545389,0.018893501398282234
260,10,50,50,2,0.509038047609099,0.012878317763780893
261,10,50,50,5,0.5231323479069061,0.017467972562205687
262,10,50,50,10,0.5248388322697716,0.010543674378193755
263,10,50,50,20,0.5223739089209065,0.00967499743036198
264,10,50,50,50,0.5345721152440258,0.013921639731454374
265,10,50,100,2,0.5050562510198384,0.01099401450682328
266,10,50,100,5,0.5148527361871681,0.011840185736498162
267,10,50,100,10,0.5187713317926246,0.00817979850087109
268,10,50,100,20,0.5144735183988264,0.014347376787300534
269,10,50,100,50,0.5288206308330451,0.01947765702956438
270,10,50,200,2,0.5086588301861757,0.00883321874203906
271,10,50,200,5,0.5072051568879534,0.016232374642317107
272,10,50,200,10,0.5113133614798772,0.01718193664147822
273,10,50,200,20,0.5129566428830419,0.009169094035992482
274,10,50,200,50,0.5297686776376799,0.01730503090671103
275,10,100,10,2,0.5138414861610122,0.008748255844171738
276,10,100,10,5,0.5147895341617331,0.013529515978000313
277,10,100,10,10,0.5300846931255808,0.01109267177278136
278,10,100,10,20,0.5351409440060328,0.009843910107697583
279,10,100,10,50,0.5446214135084031,0.009544558908816267
280,10,100,20,2,0.5072683592976428,0.009151137308383902
281,10,100,20,5,0.5212362531203866,0.009931219845609912
282,10,100,20,10,0.5259764886937631,0.008597613769635613
283,10,100,20,20,0.5334344586354414,0.009998274057033385
284,10,100,20,50,0.5398811775300524,0.016102032712780743
285,10,100,50,2,0.5130830498534921,0.010570325387685583
286,10,100,50,5,0.5132726581091225,0.011718262893492782
287,10,100,50,10,0.5212994570595594,0.012344028429993957
288,10,100,50,20,0.5188345349161985,0.010329366369198147
289,10,100,50,50,0.5325496163708479,0.015134778953175476
290,10,100,100,2,0.5102389074279029,0.01078758816602792
291,10,100,100,5,0.5147263300153643,0.012645244574241118
292,10,100,100,10,0.5140942980148837,0.011614419050224275
293,10,100,100,20,0.5192769569507397,0.007536576156484469
294,10,100,100,50,0.5362153975268318,0.012956743628188654
295,10,100,200,2,0.5100492971926087,0.01211589473845097
296,10,100,200,5,0.5138414871762728,0.006914252486040451
297,10,100,200,10,0.5180760961373948,0.010609393525321191
298,10,100,200,20,0.5109341428571006,0.016349011470877445
299,10,100,200,50,0.5237643784494801,0.017050041587559656
