,embedding_length,filter_length,lstm_nodes,num_filters,pool_size,means,stddev
0,4,2,100,100,3,0.6569486674267156,0.01783459595655535
1,4,2,100,100,4,0.6505097478223048,0.01806843008530908
2,4,2,100,100,7,0.6447415488912517,0.01602729068350013
3,4,2,100,150,3,0.6650420317995678,0.013007741519314633
4,4,2,100,150,4,0.6478268645798407,0.00947511976632173
5,4,2,100,150,7,0.6438919692176162,0.003265834636613915
6,4,2,100,200,3,0.6321767125551229,0.016532901313573732
7,4,2,100,200,4,0.6598998390723162,0.006614085870489303
8,4,2,100,200,7,0.650107315261576,0.008412166675864386
9,4,2,150,100,3,0.640225362231876,0.022693738953687363
10,4,2,150,100,4,0.6793954569951001,0.01212463126477125
11,4,2,150,100,7,0.6404936504830958,0.020425168675467894
12,4,2,150,150,3,0.6553836523089974,0.010353867344375337
13,4,2,150,150,4,0.6444732606080494,0.005501676809708977
14,4,2,150,150,7,0.6434448220407445,0.016742544892178572
15,4,2,150,200,3,0.6647290287696277,0.020707208398043905
16,4,2,150,200,4,0.6707655160211958,0.010763058119126707
17,4,2,150,200,7,0.6535950634762461,0.012398539958894884
18,4,2,200,100,3,0.6512698980984118,0.005621708272555683
19,4,2,200,100,4,0.643310677933791,0.02104343080201823
20,4,2,200,100,7,0.6313271328681612,0.012904392589163672
21,4,2,200,150,3,0.6429976748425511,0.018703492642021594
22,4,2,200,150,4,0.662403863333159,0.007619786248244362
23,4,2,200,150,7,0.6336075835872093,0.0034745944619570777
24,4,2,200,200,3,0.6620461456151154,0.022400438972710105
25,4,2,200,200,4,0.6497048828740855,0.003409322910594843
26,4,2,200,200,7,0.6448309783367538,0.006022955993385762
27,4,3,100,100,3,0.6666070470558768,0.01420224651689745
28,4,3,100,100,4,0.654891790388053,0.008220991266520377
29,4,3,100,100,7,0.6577088177134837,0.002507857446264927
30,4,3,100,150,3,0.6654444643682923,0.023898524573335894
31,4,3,100,150,4,0.6802003219486499,0.01186839219158171
32,4,3,100,150,7,0.6709443748535655,0.027790712683926844
33,4,3,100,200,3,0.6705866571328568,0.01552394529619709
34,4,3,100,200,4,0.6835092112056856,0.015201066071787544
35,4,3,100,200,7,0.672419960608403,0.011435322004557411
36,4,3,150,100,3,0.6586031121498483,0.008442146893486189
37,4,3,150,100,4,0.6956269003249648,0.027024767612059613
38,4,3,150,100,7,0.6463065641315694,0.006269960464015954
39,4,3,150,150,3,0.6818100518770709,0.00803498429587397
40,4,3,150,150,4,0.670944374898874,0.006524510483515396
41,4,3,150,150,7,0.678277588995619,0.006668348115927947
42,4,3,150,200,3,0.6577088176735056,0.02432567907324557
43,4,3,150,200,4,0.6820336254854958,0.017991165878806847
44,4,3,150,200,7,0.6806474691601692,0.01596590831977502
45,4,3,200,100,3,0.6776515829597255,0.01509450562445439
46,4,3,200,100,4,0.6844035055994071,0.022526573515460786
47,4,3,200,100,7,0.6662493292472162,0.017494557356318295
48,4,3,200,150,3,0.6585583973844541,0.019473540856607484
49,4,3,200,150,4,0.6784564478413148,0.021170482766824764
50,4,3,200,150,7,0.6622697191169321,0.025810426886727033
51,4,3,200,200,3,0.6633875872016998,0.00908431902352687
52,4,3,200,200,4,0.6893221248141812,0.013989976789762243
53,4,3,200,200,7,0.6658021820436926,0.009964885462197237
54,4,5,100,100,3,0.6777410123012847,0.023337908886377514
55,4,5,100,100,4,0.68087104271529,0.02480786030115619
56,4,5,100,100,7,0.6780987301126103,0.015062930123396542
57,4,5,100,150,3,0.6656680379287434,0.031733286753360096
58,4,5,100,150,4,0.6993382221400641,0.01822590522206908
59,4,5,100,150,7,0.6818994813145774,0.020769491984096087
60,4,5,100,200,3,0.6878465390433525,0.006581602153680188
61,4,5,100,200,4,0.706671436196831,0.006568490363216529
62,4,5,100,200,7,0.6561885173131861,0.016429546544740155
63,4,5,150,100,3,0.6686192094624053,0.014366323349058333
64,4,5,150,100,4,0.693525308536899,0.023811692575505278
65,4,5,150,100,7,0.6829726345646554,0.016896381308034492
66,4,5,150,150,3,0.6937488821773063,0.00974218747586206
67,4,5,150,150,4,0.6601681273182055,0.011379673779489292
68,4,5,150,150,7,0.684940082275085,0.019857457299201048
69,4,5,150,200,3,0.7015292434722447,0.005464550941406781
70,4,5,150,200,4,0.7106510463271152,0.03088071171611947
71,4,5,150,200,7,0.6958057592666079,0.014023959912400194
72,4,5,200,100,3,0.6453228402470373,0.012634521291661385
73,4,5,200,100,4,0.692183866928993,0.011680595200206182
74,4,5,200,100,7,0.6748345555063651,0.00422188126149435
75,4,5,200,150,3,0.6688874977749248,0.015148271447973746
76,4,5,200,150,4,0.7091754605989298,0.022047115202469127
77,4,5,200,150,7,0.6949561795396682,0.009195693527777047
78,4,5,200,200,3,0.6958504739413852,0.03255024256959663
79,4,5,200,200,4,0.7038544088420832,0.010744712967513602
80,4,5,200,200,7,0.7017081023126099,0.007945082381557509
81,16,2,100,100,3,0.697013056658287,0.0006447062329999968
82,16,2,100,100,4,0.686683956278477,0.008200020059177368
83,16,2,100,100,7,0.6530137720591607,0.005596040570249046
84,16,2,100,150,3,0.6844035056873589,0.011082889540235714
85,16,2,100,150,4,0.7023788231112326,0.006851135974028783
86,16,2,100,150,7,0.6646395994014165,0.006837136508545972
87,16,2,100,200,3,0.6818100518370929,0.017304674621474656
88,16,2,100,200,4,0.6905294222938121,0.0069733587852589445
89,16,2,100,200,7,0.6783223036703964,0.016172581472138292
90,16,2,150,100,3,0.6711679484646557,0.024733487583982736
91,16,2,150,100,4,0.6904399928536404,0.007722811164770267
92,16,2,150,100,7,0.668529780014238,0.006264539849570495
93,16,2,150,150,3,0.7087283133154498,0.008593221233568031
94,16,2,150,150,4,0.6779645859123747,0.004674030137167703
95,16,2,150,150,7,0.6670094795393147,0.01446671570408754
96,16,2,150,200,3,0.7000089429573432,0.0041700313526637275
97,16,2,150,200,4,0.7004560901528714,0.01239797431525993
98,16,2,150,200,7,0.6700053657770711,0.00792941482771816
99,16,2,200,100,3,0.69428545873305,0.0076658019318671345
100,16,2,200,100,4,0.6932570202163839,0.005993272970925092
101,16,2,200,100,7,0.6548023609505466,0.011299820288928937
102,16,2,200,150,3,0.6901717045224645,0.014405081309633899
103,16,2,200,150,4,0.7105169021375404,0.0090770447217331
104,16,2,200,150,7,0.6675013414096201,0.008749854402332056
105,16,2,200,200,3,0.6896798425668724,0.008376845074496504
106,16,2,200,200,4,0.7110087640584848,0.008555192765771772
107,16,2,200,200,7,0.654310498949646,0.0024526521123624545
108,16,3,100,100,3,0.7140493650136619,0.004941215282951758
109,16,3,100,100,4,0.7036308352416539,0.008978635137883311
110,16,3,100,100,7,0.6839116436358195,0.0009492251133267046
111,16,3,100,150,3,0.708594169163188,0.012652702008044294
112,16,3,100,150,4,0.719370416698548,0.016591108663107704
113,16,3,100,150,7,0.6991146485103177,0.010099322957265813
114,16,3,100,200,3,0.7034072615985814,0.01197265729834299
115,16,3,100,200,4,0.7165533893304741,0.008992751371365569
116,16,3,100,200,7,0.686862815244107,0.007191450788283789
117,16,3,150,100,3,0.7106063316123598,0.014655396622319137
118,16,3,150,100,4,0.7070291539548527,0.011613219317937884
119,16,3,150,100,7,0.682123054880359,0.0024689322042696906
120,16,3,150,150,3,0.6993382220707689,0.02364113813618713
121,16,3,150,150,4,0.6965211947106905,0.023495506855223613
122,16,3,150,150,7,0.6928098730155253,0.012614645778885122
123,16,3,150,200,3,0.7067608656876417,0.009377414927645333
124,16,3,150,200,4,0.7089518869238748,0.010913829661136033
125,16,3,150,200,7,0.6967000536656597,0.0063141559503257436
126,16,3,200,100,3,0.7092648900417666,0.013740804587093916
127,16,3,200,100,4,0.6952244678282008,0.02240995060574328
128,16,3,200,100,7,0.6896798425668724,0.007463612361553221
129,16,3,200,150,3,0.7141835091819151,0.012663202077894753
130,16,3,200,150,4,0.7118136290120345,0.017773689989772933
131,16,3,200,150,7,0.6990699338755184,0.008324367295291294
132,16,3,200,200,3,0.7260776246714477,0.011136521049325887
133,16,3,200,200,4,0.7040779824878209,0.016696909346679202
134,16,3,200,200,7,0.6820336254375221,0.005047360962004409
135,16,5,100,100,3,0.711366481811176,0.02274212654993186
136,16,5,100,100,4,0.7117241995345499,0.025648996741713215
137,16,5,100,100,7,0.6920497228193744,0.019709089993527433
138,16,5,100,150,3,0.718923269505685,0.018114727435112617
139,16,5,100,150,4,0.711634770208982,0.013214111989456052
140,16,5,100,150,7,0.708147021956999,0.01269201100123384
141,16,5,100,200,3,0.7206671436316765,0.011722384577692377
142,16,5,100,200,4,0.7189232695110154,0.013052797196380628
143,16,5,100,200,7,0.7004113753981378,0.011289980346108147
144,16,5,150,100,3,0.7119030584602019,0.01982900137740011
145,16,5,150,100,4,0.7235288857118407,0.012520281428723724
146,16,5,150,100,7,0.6977284921903214,0.014186283271827416
147,16,5,150,150,3,0.7194598462293366,0.015247232922923638
148,16,5,150,150,4,0.7124396350959017,0.005259228255753852
149,16,5,150,150,7,0.6979073510706648,0.009160137842924665
150,16,5,150,200,3,0.7262117688343704,0.015971267140956837
151,16,5,150,200,4,0.7267036307952929,0.011842185498327875
152,16,5,150,200,7,0.680915757438041,0.02154873131331625
153,16,5,200,100,3,0.7138705060960057,0.01752880173748955
154,16,5,200,100,4,0.7181184045494701,0.01657775335557355
155,16,5,200,100,7,0.6949114648275779,0.00916137308322879
156,16,5,200,150,3,0.7206671435943637,0.013578438208724841
157,16,5,200,150,4,0.7200411375478094,0.008871342752574694
158,16,5,200,150,7,0.7053747093569847,0.004854793136626477
159,16,5,200,200,3,0.7154355213336582,0.015552742300762725
160,16,5,200,200,4,0.7166428187786413,0.012144411919242483
161,16,5,200,200,7,0.6883384009749577,0.01935867538889295
